id,separationtype,cease_date,dete_start_date,role_start_date,position,classification,region,business_unit,employment_status,career_move_to_public_sector,career_move_to_private_sector,interpersonal_conflicts,job_dissatisfaction,dissatisfaction_with_the_department,physical_work_environment,lack_of_recognition,lack_of_job_security,work_location,employment_conditions,maternity/family,relocation,study/travel,ill_health,traumatic_incident,work_life_balance,workload,none_of_the_above,gender,age,aboriginal,torres_strait,south_sea,disability,nesb,cease_year,institute_service,institute,Institute,WorkArea,Contributing Factors. Career Move - Public Sector ,Contributing Factors. Career Move - Private Sector ,Contributing Factors. Career Move - Self-employment,Contributing Factors. Ill Health,Contributing Factors. Maternity/Family,Contributing Factors. Dissatisfaction,Contributing Factors. Job Dissatisfaction,Contributing Factors. Interpersonal Conflict,Contributing Factors. Study,Contributing Factors. Travel,Contributing Factors. Other,Contributing Factors. NONE,role_service,dissatisfied,service_cat,age_group
4.0,Resignation-Other reasons,05/2012,2005.0,2006.0,Teacher,Primary,Central Queensland,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15460.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
6.0,Resignation-Other reasons,05/2012,1994.0,1997.0,Guidance Officer,,Central Office,Education Queensland,Permanent Full-time,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15460.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
9.0,Resignation-Other reasons,07/2012,2009.0,2009.0,Teacher,Secondary,North Queensland,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15521.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
10.0,Resignation-Other employer,2012,1997.0,2008.0,Teacher Aide,,,,Permanent Part-time,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
12.0,Resignation-Move overseas/interstate,2012,2009.0,2009.0,Teacher,Secondary,Far North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
13.0,Resignation-Other reasons,2012,1998.0,1998.0,Teacher,Primary,Far North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
15.0,Resignation-Other employer,2012,2007.0,2010.0,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
17.0,Resignation-Other reasons,2012,,,Teacher Aide,,South East,,Permanent Part-time,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,Male,,,,,,,2012.0,,DETE,,,,,,,,,,,,,,,,0.0,,
21.0,Resignation-Other employer,2012,1982.0,1982.0,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
22.0,Resignation-Other reasons,2012,1980.0,2009.0,Cleaner,,Darling Downs South West,,Permanent Part-time,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,2012.0,15339.0,DETE,,,,,,,,,,,,,,,,0.0,Veteran,
